0,1,2
267.0,221.0,-42.47454
269.0,239.0,-47.794487
273.0,254.0,-52.548157
278.0,269.0,-54.723404
282.0,284.0,-51.317184
290.0,301.0,-41.135784
299.0,312.0,-26.55134
310.0,325.0,-12.16049
327.0,332.0,-6.6637983
347.0,327.0,-13.271546
357.0,314.0,-26.850273
368.0,301.0,-41.424442
377.0,286.0,-51.6325
383.0,271.0,-54.383747
385.0,256.0,-51.84254
390.0,241.0,-46.97511
394.0,226.0,-41.146317
278.0,221.0,20.286695
286.0,217.0,31.423878
295.0,217.0,38.14996
306.0,219.0,41.54052
312.0,224.0,42.206158
344.0,224.0,42.985714
353.0,219.0,42.41349
362.0,217.0,39.15701
372.0,219.0,32.842136
379.0,224.0,21.830091
329.0,245.0,35.73711
327.0,258.0,38.206806
327.0,269.0,42.77046
327.0,278.0,41.188038
316.0,282.0,24.284626
321.0,284.0,26.654408
327.0,286.0,27.61767
334.0,284.0,26.412506
338.0,282.0,24.16139
290.0,237.0,22.31345
297.0,237.0,29.76003
303.0,237.0,30.202572
312.0,241.0,26.437078
306.0,243.0,27.848665
297.0,241.0,26.241978
344.0,241.0,27.765749
353.0,237.0,31.60257
360.0,239.0,31.282537
366.0,239.0,23.672852
360.0,243.0,27.485634
353.0,243.0,29.08477
308.0,301.0,12.734337
314.0,299.0,21.705318
323.0,297.0,27.181513
327.0,299.0,27.58583
331.0,297.0,27.194132
340.0,301.0,21.197964
347.0,303.0,11.154471
340.0,308.0,17.87888
334.0,312.0,20.654932
327.0,312.0,21.44008
321.0,312.0,20.930498
314.0,308.0,18.486908
310.0,301.0,13.1938925
321.0,301.0,22.13974
327.0,303.0,23.357084
334.0,303.0,21.87523
344.0,303.0,11.609646
334.0,303.0,21.960045
327.0,303.0,22.683765
321.0,303.0,22.1589
